title,playtime,week,week_order,lecture_id
웹개발 1주차 오늘 배울 것,532,1,1,5f266927e67b8fcf4340c087
"HTML, CSS 기본 내용",418,1,2,5f266927e67b8fcf4340c088
Quiz_간단한 로그인 페이지 만들어보기,251,1,3,5f266927e67b8fcf4340c089
CSS 기초,295,1,4,5f266927e67b8fcf4340c08a
자주 쓰이는 CSS 연습하기,659,1,5,5f266927e67b8fcf4340c08b
"폰트, 주석, 파일분리",246,1,6,5f266927e67b8fcf4340c08c
"부트스트랩, 예쁜 CSS 모음집",208,1,7,5f266927e67b8fcf4340c08d
Bootstrap(부트스트랩) 을 써보자!,258,1,8,5f266927e67b8fcf4340c08e
Quiz_함께 만든 페이지를 발전시켜보세요!,242,1,9,5f266927e67b8fcf4340c08f
Quiz_나홀로메모장의 포스팅박스를 완성하기!,128,1,10,5f266927e67b8fcf4340c090
Javascript 맛보기,123,1,11,5f266927e67b8fcf4340c091
Javascript 기초 문법 배우기 (1),555,1,12,5f266927e67b8fcf4340c092
Javascript 기초 문법 배우기 (2),344,1,13,5f266927e67b8fcf4340c093
Javascript 기초 문법 배우기 (3),495,1,14,5f266927e67b8fcf4340c094
Javascript 연습하기,369,1,15,5f266927e67b8fcf4340c095
웹개발 1주차 끝 & 숙제 설명,75,1,16,5f266927e67b8fcf4340c096
스파르타온라인 튜토리얼,204,1,0,5f275350c107da1758c81135
웹개발 2주차 오늘 배울 것,105,2,1,5f2786faa76ce73f7c0a9490
Javascript 복습,326,2,2,5f2786faa76ce73f7c0a9491
JQuery 시작하기,600,2,3,5f2786faa76ce73f7c0a9492
JQuery 다뤄보기,52,2,4,5f2786faa76ce73f7c0a9493
JQuery 적용하기(나홀로메모장),733,2,5,5f2786faa76ce73f7c0a9494
Quiz_JQuery 연습하기,659,2,6,5f2786faa76ce73f7c0a9495
서버-클라이언트 통신 이해하기,566,2,7,5f2786faa76ce73f7c0a9496
Ajax 시작하기,354,2,8,5f2786faa76ce73f7c0a9497
Ajax 함께 연습하기,500,2,9,5f2786faa76ce73f7c0a9498
Quiz_Ajax 연습하기(1),526,2,10,5f2786faa76ce73f7c0a9499
Quiz_Ajax 연습하기(2),361,2,11,5f2786faa76ce73f7c0a949a
웹개발 2주차 끝 & 숙제 설명,139,2,12,5f2786faa76ce73f7c0a949b
웹개발 3주차 오늘 배울 것,55,3,1,5f2cfa581c0c783e4e82536c
연습 겸 복습 - 나홀로메모장에 OpenAPI 붙여보기,517,3,2,5f2cfa581c0c783e4e82536d
파이썬 시작하기,156,3,3,5f2cfa581c0c783e4e82536e
파이썬 기초공부,490,3,4,5f2cfa581c0c783e4e82536f
파이썬 패키지 설치하기,160,3,5,5f2cfa581c0c783e4e825370
패키지 사용해보기,134,3,6,5f2cfa581c0c783e4e825371
웹스크래핑(크롤링) 기초,493,3,7,5f2cfa581c0c783e4e825372
Quiz_웹스크래핑(크롤링) 연습,136,3,8,5f2cfa581c0c783e4e825373
DB설치 확인,66,3,9,5f2cfa581c0c783e4e825374
DB개괄,129,3,10,5f2cfa581c0c783e4e825375
pymongo로 DB조작하기,440,3,11,5f2cfa581c0c783e4e825376
웹스크래핑 결과 저장하기,78,3,12,5f2cfa581c0c783e4e825377
Quiz_웹스크래핑 결과 저장하기,200,3,13,5f2cfa581c0c783e4e825378
웹개발 3주차 끝 & 숙제 설명,56,3,14,5f2cfa581c0c783e4e825379
[특별강의] 걸그룹 API가 API를 알려드립니다!,110,4,1,5f35370cf9b9ed3dee7f1b6a
웹개발 4주차 오늘 배울 것,126,4,2,5f35370cf9b9ed3dee7f1b6b
폴더 세팅,94,4,3,5f35370cf9b9ed3dee7f1b6c
Flask시작하기 - 서버만들기,399,4,4,5f35370cf9b9ed3dee7f1b6d
Flask시작하기 - HTML파일 주기,322,4,5,5f35370cf9b9ed3dee7f1b6e
Flask시작하기 - 본격 API 만들기,467,4,6,5f35370cf9b9ed3dee7f1b6f
[모두의책리뷰] - 프로젝트 세팅,84,4,7,5f35370cf9b9ed3dee7f1b70
[모두의책리뷰] - 뼈대 준비하기,133,4,8,5f35370cf9b9ed3dee7f1b71
[모두의책리뷰] - POST 연습(리뷰 저장),376,4,9,5f35370cf9b9ed3dee7f1b72
[모두의책리뷰] - GET 연습(리뷰 보여주기),388,4,10,5f35370cf9b9ed3dee7f1b73
[나홀로메모장] - 프로젝트 세팅,98,4,11,5f35370cf9b9ed3dee7f1b74
[나홀로메모장] - API 설계하기,107,4,12,5f35370cf9b9ed3dee7f1b75
[나홀로메모장] - 조각 기능 구현해보기,334,4,13,5f35370cf9b9ed3dee7f1b76
[나홀로메모장] - 뼈대 준비하기,67,4,14,5f35370cf9b9ed3dee7f1b77
[나홀로메모장] - POST 연습(메모하기),406,4,15,5f35370cf9b9ed3dee7f1b78
[나홀로메모장] - GET 연습(보여주기),490,4,16,5f35370cf9b9ed3dee7f1b79
웹개발 4주차 끝 & 숙제 설명,93,4,17,5f35370cf9b9ed3dee7f1b7a
웹개발 5주차 오늘 배울 것,76,5,1,5f36558829f38171335a88f9
[무비스타] - 프로젝트 세팅,89,5,2,5f36558829f38171335a88fa
[무비스타] - DB 만들기(데이터 쌓기),100,5,3,5f36558829f38171335a88fb
[무비스타] - 뼈대 준비하기,41,5,4,5f36558829f38171335a88fc
[무비스타] - GET연습(보여주기),456,5,5,5f36558829f38171335a88fd
[무비스타] - POST연습(좋아요+1),265,5,6,5f36558829f38171335a88fe
[무비스타] - POST연습(삭제하기),172,5,7,5f36558829f38171335a88ff
내 프로젝트를 서버에 올리기,236,5,8,5f36558829f38171335a8900
AWS 서버 구매하기,409,5,9,5f36558829f38171335a8901
flask 서버를 실행해보기,331,5,10,5f36558829f38171335a8902
AWS에서 포트 열어주기,96,5,11,5f36558829f38171335a8903
mongoDB 설치하기,423,5,12,5f36558829f38171335a8904
원페이지쇼핑몰 업로드해보기,185,5,13,5f36558829f38171335a8905
포트포워딩,152,5,14,5f36558829f38171335a8906
nohup 설정하기,265,5,15,5f36558829f38171335a8907
도메인 구입하기,91,5,16,5f36558829f38171335a8908
og 태그,166,5,17,5f36558829f38171335a8909
웹개발 5주차 끝,57,5,18,5f36558829f38171335a890a
